Score for architecture = [41, 100, 119], lambda = 0.0, eta = 0.0001, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 2.28000003695%, MSE = 0.0083251086846
Score for architecture = [41, 200, 119], lambda = 0.0, eta = 0.0001, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 2.92000004351%, MSE = 0.00831478008628
Score for architecture = [41, 300, 119], lambda = 0.0, eta = 0.0001, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 4.20000008047%, MSE = 0.00830499641597
Score for architecture = [41, 400, 119], lambda = 0.0, eta = 0.0001, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 4.08000007272%, MSE = 0.00830366650224
Score for architecture = [41, 500, 119], lambda = 0.0, eta = 0.0001, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 3.80000006855%, MSE = 0.00830278109759
Score for architecture = [41, 600, 119], lambda = 0.0, eta = 0.0001, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 4.96000009775%, MSE = 0.00829790306091
Score for architecture = [41, 700, 119], lambda = 0.0, eta = 0.0001, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 4.80000009239%, MSE = 0.00829469054937
Score for architecture = [41, 800, 119], lambda = 0.0, eta = 0.0001, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 4.12000008523%, MSE = 0.00831250849366
Score for architecture = [41, 900, 119], lambda = 0.0, eta = 0.0001, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 5.4800001055%, MSE = 0.00830408684164
Score for architecture = [41, 1000, 119], lambda = 0.0, eta = 0.0001, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 5.00000009835%, MSE = 0.00829281157255
Score for architecture = [41, 1100, 119], lambda = 0.0, eta = 0.0001, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 5.40000011027%, MSE = 0.00829305361956
Score for architecture = [41, 1200, 119], lambda = 0.0, eta = 0.0001, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 5.16000009775%, MSE = 0.0082907782793
Score for architecture = [41, 1300, 119], lambda = 0.0, eta = 0.0001, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 5.3200001061%, MSE = 0.0082941102311
