Score for architecture = [41, 3900, 200, 119], lambda = 0.0, eta = 0.008, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 19.8000003129%
Score for architecture = [41, 3900, 200, 119], lambda = 0.0, eta = 0.01, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 20.2800003588%
Score for architecture = [41, 3900, 200, 119], lambda = 0.0, eta = 0.033, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 21.0800002962%
Score for architecture = [41, 3900, 200, 119], lambda = 0.0, eta = 0.067, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 20.3600002438%
Score for architecture = [41, 3900, 200, 119], lambda = 0.0, eta = 0.1, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 18.3600002915%
Score for architecture = [41, 3900, 200, 119], lambda = 0.0, eta = 0.133, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 16.0400003523%
Score for architecture = [41, 3900, 200, 119], lambda = 0.0, eta = 0.167, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 16.5600002736%
Score for architecture = [41, 3900, 200, 119], lambda = 0.0, eta = 0.2, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 16.4000003517%
Score for architecture = [41, 3900, 200, 119], lambda = 0.0, eta = 0.25, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 15.4400002927%
Score for architecture = [41, 3900, 200, 119], lambda = 0.0, eta = 0.3, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 13.5600002736%
Score for architecture = [41, 3900, 200, 119], lambda = 0.0, eta = 0.35, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 12.3600002557%
Score for architecture = [41, 3900, 200, 119], lambda = 0.0, eta = 0.4, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 11.2000002444%

Score for architecture = [41, 3900, 1000, 119], lambda = 0.0, eta = 0.008, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 19.3200002939%
Score for architecture = [41, 3900, 1000, 119], lambda = 0.0, eta = 0.01, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 21.3600003719%
Score for architecture = [41, 3900, 1000, 119], lambda = 0.0, eta = 0.033, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 20.4400002301%
Score for architecture = [41, 3900, 1000, 119], lambda = 0.0, eta = 0.067, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 18.6800002664%
Score for architecture = [41, 3900, 1000, 119], lambda = 0.0, eta = 0.1, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 16.2800002843%
Score for architecture = [41, 3900, 1000, 119], lambda = 0.0, eta = 0.133, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 17.0000002801%
Score for architecture = [41, 3900, 1000, 119], lambda = 0.0, eta = 0.167, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 18.000000301%
Score for architecture = [41, 3900, 1000, 119], lambda = 0.0, eta = 0.2, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 16.080000326%
Score for architecture = [41, 3900, 1000, 119], lambda = 0.0, eta = 0.25, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 13.2000002503%
Score for architecture = [41, 3900, 1000, 119], lambda = 0.0, eta = 0.3, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 11.5200002283%
Score for architecture = [41, 3900, 1000, 119], lambda = 0.0, eta = 0.35, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 11.2800002575%
Score for architecture = [41, 3900, 1000, 119], lambda = 0.0, eta = 0.4, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 12.4000002623%

Score for architecture = [41, 3900, 2000, 119], lambda = 0.0, eta = 0.008, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 19.2000003159%
Score for architecture = [41, 3900, 2000, 119], lambda = 0.0, eta = 0.01, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 21.6000002682%
Score for architecture = [41, 3900, 2000, 119], lambda = 0.0, eta = 0.033, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 19.6000003159%
Score for architecture = [41, 3900, 2000, 119], lambda = 0.0, eta = 0.067, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 19.4800003022%
Score for architecture = [41, 3900, 2000, 119], lambda = 0.0, eta = 0.1, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 20.2800003111%
Score for architecture = [41, 3900, 2000, 119], lambda = 0.0, eta = 0.133, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 17.6800002933%
Score for architecture = [41, 3900, 2000, 119], lambda = 0.0, eta = 0.167, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 16.7600002617%
Score for architecture = [41, 3900, 2000, 119], lambda = 0.0, eta = 0.2, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 15.6800002724%
Score for architecture = [41, 3900, 2000, 119], lambda = 0.0, eta = 0.25, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 13.8000002474%
Score for architecture = [41, 3900, 2000, 119], lambda = 0.0, eta = 0.3, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 15.8800003082%
Score for architecture = [41, 3900, 2000, 119], lambda = 0.0, eta = 0.35, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 11.360000205%
Score for architecture = [41, 3900, 2000, 119], lambda = 0.0, eta = 0.4, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 10.6400002182%

Score for architecture = [41, 3900, 3000, 119], lambda = 0.0, eta = 0.008, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 19.1200003207%
Score for architecture = [41, 3900, 3000, 119], lambda = 0.0, eta = 0.01, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 19.0400003016%
Score for architecture = [41, 3900, 3000, 119], lambda = 0.0, eta = 0.033, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 20.240000388%
Score for architecture = [41, 3900, 3000, 119], lambda = 0.0, eta = 0.067, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 21.8800003052%
Score for architecture = [41, 3900, 3000, 119], lambda = 0.0, eta = 0.1, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 19.2400002927%
Score for architecture = [41, 3900, 3000, 119], lambda = 0.0, eta = 0.133, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 19.4800002247%
Score for architecture = [41, 3900, 3000, 119], lambda = 0.0, eta = 0.167, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 19.3200004041%
Score for architecture = [41, 3900, 3000, 119], lambda = 0.0, eta = 0.2, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 15.520000264%
Score for architecture = [41, 3900, 3000, 119], lambda = 0.0, eta = 0.25, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 14.6000002831%
Score for architecture = [41, 3900, 3000, 119], lambda = 0.0, eta = 0.3, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 12.4000002444%
Score for architecture = [41, 3900, 3000, 119], lambda = 0.0, eta = 0.35, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 11.9200002581%
Score for architecture = [41, 3900, 3000, 119], lambda = 0.0, eta = 0.4, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 11.3200002104%

Score for architecture = [41, 3900, 4000, 119], lambda = 0.0, eta = 0.008, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 17.4800003201%
Score for architecture = [41, 3900, 4000, 119], lambda = 0.0, eta = 0.01, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 20.200000304%
Score for architecture = [41, 3900, 4000, 119], lambda = 0.0, eta = 0.033, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 20.8400003314%
Score for architecture = [41, 3900, 4000, 119], lambda = 0.0, eta = 0.067, decay = 0.0, momentum = 0.0, actfn = relu: Acc = 19.9600003451%
